Measurement: energia2
  step	INTEG(v(supply)*i(V1))	FROM	TO
   181	-1.18343e-13	1.8e-08	3.3e-08
   182	-8.90873e-14	1.8e-08	3.3e-08
   183	-7.88711e-14	1.8e-08	3.3e-08
   184	-6.9759e-14	1.8e-08	3.3e-08
   185	-1.17122e-13	1.8e-08	3.3e-08
   186	-1.61458e-13	1.8e-08	3.3e-08
   187	-1.39713e-13	1.8e-08	3.3e-08
   188	-9.56057e-14	1.8e-08	3.3e-08
   189	-7.92568e-14	1.8e-08	3.3e-08
   190	-2.07023e-13	1.8e-08	3.3e-08
   191	-1.63128e-13	1.8e-08	3.3e-08
   192	-2.10466e-13	1.8e-08	3.3e-08
   193	-1.16655e-13	1.8e-08	3.3e-08
   194	-1.14616e-13	1.8e-08	3.3e-08
   195	-2.04041e-13	1.8e-08	3.3e-08
   196	-1.72117e-13	1.8e-08	3.3e-08
   197	-7.25134e-14	1.8e-08	3.3e-08
   198	-1.68684e-13	1.8e-08	3.3e-08
   199	-1.20998e-13	1.8e-08	3.3e-08
   200	-1.65872e-13	1.8e-08	3.3e-08
   201	-8.53444e-14	1.8e-08	3.3e-08
   202	-1.20454e-13	1.8e-08	3.3e-08
   203	-1.07763e-13	1.8e-08	3.3e-08
   204	-2.27286e-13	1.8e-08	3.3e-08
   205	-1.83218e-13	1.8e-08	3.3e-08
   206	-1.64782e-13	1.8e-08	3.3e-08
   207	-1.37853e-13	1.8e-08	3.3e-08
   208	-9.58933e-14	1.8e-08	3.3e-08
   209	-1.6814e-13	1.8e-08	3.3e-08
   210	-1.91069e-13	1.8e-08	3.3e-08
   211	-1.6529e-13	1.8e-08	3.3e-08
   212	-1.32801e-13	1.8e-08	3.3e-08
   213	-2.23802e-13	1.8e-08	3.3e-08
   214	-1.84727e-13	1.8e-08	3.3e-08
   215	-1.72802e-13	1.8e-08	3.3e-08
   216	-1.19673e-13	1.8e-08	3.3e-08
   217	-1.56537e-13	1.8e-08	3.3e-08
   218	-1.03539e-13	1.8e-08	3.3e-08
   219	-1.15245e-13	1.8e-08	3.3e-08
   220	-1.31976e-13	1.8e-08	3.3e-08
   221	-6.93292e-14	1.8e-08	3.3e-08
   222	-1.96016e-13	1.8e-08	3.3e-08
   223	-1.5738e-13	1.8e-08	3.3e-08
   224	-2.13739e-13	1.8e-08	3.3e-08
   225	-2.13847e-13	1.8e-08	3.3e-08
   226	-2.05011e-13	1.8e-08	3.3e-08
   227	-2.60088e-13	1.8e-08	3.3e-08
   228	-8.23945e-14	1.8e-08	3.3e-08
   229	-1.50383e-13	1.8e-08	3.3e-08
   230	-1.55632e-13	1.8e-08	3.3e-08
   231	-2.30437e-13	1.8e-08	3.3e-08
   232	-1.09097e-13	1.8e-08	3.3e-08
   233	-2.28158e-13	1.8e-08	3.3e-08
   234	-7.70865e-14	1.8e-08	3.3e-08
   235	-1.88552e-13	1.8e-08	3.3e-08
   236	-1.27559e-13	1.8e-08	3.3e-08
   237	-1.71642e-13	1.8e-08	3.3e-08
   238	-2.19696e-13	1.8e-08	3.3e-08
   239	-1.33883e-13	1.8e-08	3.3e-08
   240	-1.05473e-13	1.8e-08	3.3e-08
   241	-1.43975e-13	1.8e-08	3.3e-08
   242	-1.9807e-13	1.8e-08	3.3e-08
   243	-2.17508e-13	1.8e-08	3.3e-08
   244	-1.15492e-13	1.8e-08	3.3e-08
   245	-7.74511e-14	1.8e-08	3.3e-08
   246	-7.91963e-14	1.8e-08	3.3e-08
   247	-1.12582e-13	1.8e-08	3.3e-08
   248	-2.22841e-13	1.8e-08	3.3e-08
   249	-2.31834e-13	1.8e-08	3.3e-08
   250	-9.28138e-14	1.8e-08	3.3e-08
   251	-2.25681e-13	1.8e-08	3.3e-08
   252	-2.0437e-13	1.8e-08	3.3e-08
   253	-1.00445e-13	1.8e-08	3.3e-08
   254	-1.95044e-13	1.8e-08	3.3e-08
   255	-8.54269e-14	1.8e-08	3.3e-08
   256	-2.05076e-13	1.8e-08	3.3e-08
   257	-1.41553e-13	1.8e-08	3.3e-08
   258	-2.07318e-13	1.8e-08	3.3e-08
   259	-9.51012e-14	1.8e-08	3.3e-08
   260	-1.98974e-13	1.8e-08	3.3e-08
   261	-1.81944e-13	1.8e-08	3.3e-08
   262	-1.1591e-13	1.8e-08	3.3e-08
   263	-7.96023e-14	1.8e-08	3.3e-08
   264	-9.15518e-14	1.8e-08	3.3e-08
   265	-1.26746e-13	1.8e-08	3.3e-08
   266	-8.55521e-14	1.8e-08	3.3e-08
   267	-1.49487e-13	1.8e-08	3.3e-08
   268	-1.51745e-13	1.8e-08	3.3e-08
   269	-9.93821e-14	1.8e-08	3.3e-08
   270	-7.50724e-14	1.8e-08	3.3e-08
   271	-1.14596e-13	1.8e-08	3.3e-08
   272	-8.9172e-14	1.8e-08	3.3e-08
   273	-9.45829e-14	1.8e-08	3.3e-08
   274	-1.19958e-13	1.8e-08	3.3e-08
   275	-9.46003e-14	1.8e-08	3.3e-08
   276	-2.17381e-13	1.8e-08	3.3e-08
   277	-1.94549e-13	1.8e-08	3.3e-08
   278	-6.71097e-14	1.8e-08	3.3e-08
   279	-2.02395e-13	1.8e-08	3.3e-08
   280	-1.73472e-13	1.8e-08	3.3e-08
   281	-1.37248e-13	1.8e-08	3.3e-08
   282	-1.59133e-13	1.8e-08	3.3e-08
   283	-1.31596e-13	1.8e-08	3.3e-08
   284	-1.31431e-13	1.8e-08	3.3e-08
   285	-7.02437e-14	1.8e-08	3.3e-08
   286	-1.31884e-13	1.8e-08	3.3e-08
   287	-8.36914e-14	1.8e-08	3.3e-08
   288	-1.61445e-13	1.8e-08	3.3e-08
   289	-1.48244e-13	1.8e-08	3.3e-08
   290	-2.21477e-13	1.8e-08	3.3e-08
   291	-1.47429e-13	1.8e-08	3.3e-08
   292	-1.28412e-13	1.8e-08	3.3e-08
   293	-1.94033e-13	1.8e-08	3.3e-08
   294	-1.00418e-13	1.8e-08	3.3e-08
   295	-1.06922e-13	1.8e-08	3.3e-08
   296	-8.75157e-14	1.8e-08	3.3e-08
   297	-8.555e-14	1.8e-08	3.3e-08
   298	-9.17016e-14	1.8e-08	3.3e-08
   299	-1.43173e-13	1.8e-08	3.3e-08
   300	-1.03657e-13	1.8e-08	3.3e-08
   301	-1.28529e-13	1.8e-08	3.3e-08
   302	-1.26097e-13	1.8e-08	3.3e-08
   303	-1.99647e-13	1.8e-08	3.3e-08
   304	-1.95478e-13	1.8e-08	3.3e-08
   305	-2.17929e-13	1.8e-08	3.3e-08
   306	-1.21531e-13	1.8e-08	3.3e-08
   307	-1.33674e-13	1.8e-08	3.3e-08
   308	-9.77294e-14	1.8e-08	3.3e-08
   309	-1.53619e-13	1.8e-08	3.3e-08
   310	-1.92032e-13	1.8e-08	3.3e-08
   311	-7.16005e-14	1.8e-08	3.3e-08
   312	-1.12142e-13	1.8e-08	3.3e-08
   313	-1.78615e-13	1.8e-08	3.3e-08
   314	-1.17134e-13	1.8e-08	3.3e-08
   315	-7.67447e-14	1.8e-08	3.3e-08
   316	-9.66845e-14	1.8e-08	3.3e-08
   317	-1.70597e-13	1.8e-08	3.3e-08
   318	-7.5193e-14	1.8e-08	3.3e-08
   319	-2.42272e-13	1.8e-08	3.3e-08
   320	-1.15845e-13	1.8e-08	3.3e-08
   321	-1.09956e-13	1.8e-08	3.3e-08
   322	-1.42221e-13	1.8e-08	3.3e-08
   323	-1.48194e-13	1.8e-08	3.3e-08
   324	-1.33191e-13	1.8e-08	3.3e-08
   325	-2.27632e-13	1.8e-08	3.3e-08
   326	-2.02058e-13	1.8e-08	3.3e-08
   327	-1.39399e-13	1.8e-08	3.3e-08
   328	-9.64773e-14	1.8e-08	3.3e-08
   329	-1.89295e-13	1.8e-08	3.3e-08
   330	-2.01606e-13	1.8e-08	3.3e-08
   331	-1.02592e-13	1.8e-08	3.3e-08
   332	-1.94093e-13	1.8e-08	3.3e-08
   333	-1.50772e-13	1.8e-08	3.3e-08
   334	-1.87964e-13	1.8e-08	3.3e-08
   335	-2.30549e-13	1.8e-08	3.3e-08
   336	-1.27859e-13	1.8e-08	3.3e-08
   337	-2.19635e-13	1.8e-08	3.3e-08
   338	-1.22491e-13	1.8e-08	3.3e-08
   339	-9.13887e-14	1.8e-08	3.3e-08
   340	-8.11223e-14	1.8e-08	3.3e-08
   341	-1.85552e-13	1.8e-08	3.3e-08
   342	-7.88104e-14	1.8e-08	3.3e-08
   343	-1.54742e-13	1.8e-08	3.3e-08
   344	-1.01117e-13	1.8e-08	3.3e-08
   345	-1.99214e-13	1.8e-08	3.3e-08
