Measurement: ritardo_rise
  step	ritardo_rise	FROM	TO
   331	2.10239e-10	2.0015e-08	2.02252e-08
   332	1.74599e-10	2.0015e-08	2.01896e-08
   333	1.71693e-10	2.0015e-08	2.01867e-08
   334	1.7927e-10	2.0015e-08	2.01943e-08
   335	3.18234e-10	2.0015e-08	2.03332e-08
   336	1.6897e-10	2.0015e-08	2.0184e-08
   337	1.82178e-10	2.0015e-08	2.01972e-08
   338	1.82809e-10	2.0015e-08	2.01978e-08
   339	1.6011e-10	2.0015e-08	2.01751e-08
   340	1.84059e-10	2.0015e-08	2.01991e-08
   341	1.7312e-10	2.0015e-08	2.01881e-08
   342	1.68586e-10	2.0015e-08	2.01836e-08
   343	2.18868e-10	2.0015e-08	2.02339e-08
   344	2.02291e-10	2.0015e-08	2.02173e-08
   345	1.75904e-10	2.0015e-08	2.01909e-08
   346	1.86262e-10	2.0015e-08	2.02013e-08
   347	1.65844e-10	2.0015e-08	2.01808e-08
   348	1.97161e-10	2.0015e-08	2.02122e-08
   349	1.72264e-10	2.0015e-08	2.01873e-08
   350	1.68969e-10	2.0015e-08	2.0184e-08
   351	1.6851e-10	2.0015e-08	2.01835e-08
   352	2.15709e-10	2.0015e-08	2.02307e-08
   353	1.79448e-10	2.0015e-08	2.01944e-08
   354	1.61015e-10	2.0015e-08	2.0176e-08
   355	1.80907e-10	2.0015e-08	2.01959e-08
   356	1.75267e-10	2.0015e-08	2.01903e-08
   357	1.80009e-10	2.0015e-08	2.0195e-08
   358	1.79237e-10	2.0015e-08	2.01942e-08
   359	1.72037e-10	2.0015e-08	2.0187e-08
   360	1.67446e-10	2.0015e-08	2.01824e-08
   361	1.77602e-10	2.0015e-08	2.01926e-08
   362	1.67166e-10	2.0015e-08	2.01822e-08
   363	1.78132e-10	2.0015e-08	2.01931e-08
   364	2.30661e-10	2.0015e-08	2.02457e-08
   365	1.79828e-10	2.0015e-08	2.01948e-08
   366	1.59225e-10	2.0015e-08	2.01742e-08
   367	1.99752e-10	2.0015e-08	2.02148e-08
   368	2.10576e-10	2.0015e-08	2.02256e-08
   369	1.85966e-10	2.0015e-08	2.0201e-08
   370	1.73923e-10	2.0015e-08	2.01889e-08
   371	1.62641e-10	2.0015e-08	2.01776e-08
   372	1.88325e-10	2.0015e-08	2.02033e-08
   373	1.83339e-10	2.0015e-08	2.01983e-08
   374	1.59773e-10	2.0015e-08	2.01748e-08
   375	1.58406e-10	2.0015e-08	2.01734e-08
   376	1.63391e-10	2.0015e-08	2.01784e-08
   377	1.67264e-10	2.0015e-08	2.01823e-08
   378	1.64461e-10	2.0015e-08	2.01795e-08
   379	2.02386e-10	2.0015e-08	2.02174e-08
   380	1.83644e-10	2.0015e-08	2.01986e-08
   381	1.70253e-10	2.0015e-08	2.01853e-08
   382	2.37579e-10	2.0015e-08	2.02526e-08
   383	1.77833e-10	2.0015e-08	2.01928e-08
   384	1.64381e-10	2.0015e-08	2.01794e-08
   385	1.80167e-10	2.0015e-08	2.01952e-08
   386	2.41985e-10	2.0015e-08	2.0257e-08
   387	1.75105e-10	2.0015e-08	2.01901e-08
   388	1.79777e-10	2.0015e-08	2.01948e-08
   389	2.08197e-10	2.0015e-08	2.02232e-08
   390	1.69024e-10	2.0015e-08	2.0184e-08
   391	1.64074e-10	2.0015e-08	2.01791e-08
   392	1.82759e-10	2.0015e-08	2.01978e-08
   393	1.67538e-10	2.0015e-08	2.01825e-08
   394	1.87723e-10	2.0015e-08	2.02027e-08
   395	1.7886e-10	2.0015e-08	2.01939e-08
   396	2.12404e-10	2.0015e-08	2.02274e-08
   397	1.75852e-10	2.0015e-08	2.01909e-08
   398	1.79542e-10	2.0015e-08	2.01945e-08
   399	1.80383e-10	2.0015e-08	2.01954e-08
   400	1.62263e-10	2.0015e-08	2.01773e-08
   401	2.0902e-10	2.0015e-08	2.0224e-08
   402	2.03763e-10	2.0015e-08	2.02188e-08
   403	1.6785e-10	2.0015e-08	2.01829e-08
   404	1.61847e-10	2.0015e-08	2.01768e-08
   405	1.80781e-10	2.0015e-08	2.01958e-08
   406	1.64853e-10	2.0015e-08	2.01799e-08
   407	1.79406e-10	2.0015e-08	2.01944e-08
   408	1.7408e-10	2.0015e-08	2.01891e-08
   409	1.95687e-10	2.0015e-08	2.02107e-08
   410	2.34658e-10	2.0015e-08	2.02497e-08
   411	1.87839e-10	2.0015e-08	2.02028e-08
   412	1.83651e-10	2.0015e-08	2.01987e-08
   413	1.6146e-10	2.0015e-08	2.01765e-08
   414	1.75611e-10	2.0015e-08	2.01906e-08
   415	1.71429e-10	2.0015e-08	2.01864e-08
   416	1.79751e-10	2.0015e-08	2.01948e-08
   417	1.61036e-10	2.0015e-08	2.0176e-08
   418	1.60068e-10	2.0015e-08	2.01751e-08
   419	1.72577e-10	2.0015e-08	2.01876e-08
   420	1.73359e-10	2.0015e-08	2.01884e-08
   421	1.63752e-10	2.0015e-08	2.01788e-08
   422	1.87981e-10	2.0015e-08	2.0203e-08
   423	1.95982e-10	2.0015e-08	2.0211e-08
   424	1.64179e-10	2.0015e-08	2.01792e-08
   425	1.95398e-10	2.0015e-08	2.02104e-08
   426	1.79891e-10	2.0015e-08	2.01949e-08
   427	1.87048e-10	2.0015e-08	2.0202e-08
   428	1.69635e-10	2.0015e-08	2.01846e-08
   429	1.72853e-10	2.0015e-08	2.01879e-08
   430	1.74132e-10	2.0015e-08	2.01891e-08
